cores,time,used_cores
1 2.2368111610412598 [{0, 5}]
2 2.580946445465088 [{0, 5}, {1, 2}]
3 2.4020724296569824 [{0, 5}, {1, 2}, {3, 4}]
4 2.3660664558410645 [{0, 5}, {1, 2}, {3, 4}, {6, 7}]
5 2.3938345909118652 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}]
6 2.4405465126037598 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}]
7 4.717170715332031 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}]
8 5.762103080749512 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}]
9 5.937197685241699 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}]
10 5.990435600280762 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}]
11 7.502599477767944 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}, {16}]
12 6.0062501430511475 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}, {16}, {17}]
13 6.2859838008880615 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}]
14 7.14294958114624 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}]
15 6.53239631652832 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}]
16 7.023585557937622 [{0, 5}, {1, 2}, {3, 4}, {6, 7}, {8, 9}, {10, 11}, {12}, {13}, {14}, {15}, {16}, {17}, {18}, {19}, {20}, {21}]
