cores,time
1,2.80340838432312
2,1.294800043106079
3,0.8449773788452148
4,0.622551679611206
5,0.492948055267334
6,0.41158223152160645
7,0.543236255645752
8,0.4682488441467285
9,0.43187713623046875
10,0.3998258113861084
11,0.38364291191101074
12,0.3538992404937744
13,0.32836127281188965
14,0.3123488426208496
15,0.4285917282104492
16,0.4562516212463379
17,0.4616858959197998
18,0.4107992649078369
19,0.39958858489990234
20,0.35570693016052246
21,0.3586091995239258
22,0.4004387855529785
23,0.41968536376953125
24,0.3816657066345215
25,0.7599904537200928
26,0.36780810356140137
27,0.5862774848937988
28,0.37151551246643066
29,0.41301989555358887
30,0.5664758682250977
31,0.4324648380279541
32,0.6053464412689209
